@id,addr:city,name,addr:street,@lat,@lon
1000000357827839,Cкoпje,Дукат,Митрополит Теодосиј Гологанов,41.9948965,21.4129989
1000000358611648,Cкoпje,Ресторан 14,Лондонска,42.0018539,21.3918671
1000000360117574,Cкoпje,Ден и Ноќ,,42.0137743,21.4059057
1000000361977245,Cкoпje,Корнер / Баба Цана,Партенија Зографски,41.9867827,21.4198501
1000000363752338,Cкoпje,Skopski Merak,Дебарца,42.0010431,21.4198115
1000000364669936,,Kulla Alinea,,41.9640751,21.3016376
1000000365651449,Делчево,Ресторан Македонија,Маршал Тито,41.9659577,22.7708091
1000000365998801,,Aktiva,,42.0440002,21.3905927
1000000366523246,Делчево,Гостилница Кај Мите,Маршал Тито,41.9642798,22.7730519
1000000379884574,,Томче Софка,Јордан Хаџиконстантинов Џинот,42.0034960,21.4258146
1000000379896010,,Калабалак,,41.9899916,21.4403078
1000000388864897,,мали рај,,40.9445244,20.9012962
1000000388871332,Cкoпje,Јавна Соба,50-та дивизија,41.9898961,21.4259580
1000000389055663,,бачцло,,42.0130612,20.8865121
1000000389055666,Tetovo,Шар,,42.0110805,20.9190809
1000000389881384,,Rozenberg,,41.9825664,21.5874617
1000000390108507,,Imperial,,42.0487648,21.4286482
1000000397784875,,Регент Клуб,,41.9069237,21.4138473
1000000409026453,Cкoпje,Restoran Olive,Париска,42.0013528,21.4014254
1000000410064786,,Фурна,,41.9954379,21.4094849
1000000411114144,Ljubanci,квин рибник,,42.1140737,21.4573278
1000000415864951,,,,42.0398771,21.3948685
1000000435270679,,Теракота,,41.3436319,21.5221413
1000000435274670,Прилеп,Лаки,Леце Котески,41.3450377,21.5274279
1000000445087610,,,,41.7373041,22.1942054
1000000445237139,,Ла Тана,,41.9895322,21.4391940
1000000445237140,,Амиго,,41.9897235,21.4394294
1000000445237144,,Кај Злате,,41.9896450,21.4393643
1000000445837935,,Галерија 7,,42.0011507,21.4379661
1000000445927536,,Мал-Одмор,,41.7441588,22.1861206
1000000445935972,,ЗАКИ 1,,41.7439712,22.1899973
1000000445976256,,Златна рипка,,41.7472817,22.1845728
1000000445976288,,НЕЦКО 2,,41.7485140,22.1839834
1000000445976306,,Ресторан Ваго,,41.7515502,22.1787768
1000000446059947,,Меана за Мерак,,41.7480225,22.1813055
1000000446062753,,Лонгуров,,41.7475759,22.1834691
1000000447904291,,Black Pearl,,41.9908873,21.5907654
1000000461409601,,,,42.2089625,22.3628937
1000000463894362,,Kuklica,,42.1027558,22.0555790
1000000467607832,,Erdi,Сараевска,42.0114510,21.4458855
1000000467607833,,Vesa,Сараевска,42.0111565,21.4465923
1000000467607834,,Alba,Сараевска,42.0117350,21.4452479
1000000467607835,,,Сараевска,42.0116353,21.4454517
1000000471096720,,Dielli,,42.0082074,21.4353613
1000000471105231,,Golden Mili,Пере Тошев,42.0119870,21.4358749
1000000474873952,,Кај Жабарот,,42.0013874,21.4287397
1000000476186155,,Гостилница Мерак,,42.0033524,21.4791372
1000000477026719,,Читална,,42.0023254,21.4220947
1000000477026724,,Чардак,,42.0020431,21.4221788
1000000477325813,,Наша софра,,42.0009183,21.4202966
1000000477325815,,Дебар Маало,,42.0015901,21.4204840
1000000477325816,Cкoпje,Гурмет,Отон Жупанчич,42.0012484,21.4209447
1000000477325818,Cкoпje,Наџак,Мирослав Крлежа,42.0014088,21.4214709
1000000477325825,,Kancelarija,,42.0016502,21.4222441
1000000477325827,,Чамо,,42.0021418,21.4220786
1000000477325830,,Ganza,Ѓорѓи Пешков,42.0021744,21.4222887
1000000477325836,Cкoпje,Antica,Дебарца,42.0012248,21.4194824
1000000477540171,,Кремисимо 2,,42.0007359,21.4580102
1000000482846770,,,,42.0011236,21.4196416
1000000496423190,,Bonimi,Булевар 8-ми Септември,42.0062332,21.4067262
1000000496423192,Cкoпje,Барбакан,Булевар 8-ми Септември,42.0062805,21.4065102
1000000497684682,Прилеп,Бисер,1. Мај,41.3449609,21.5567872
1000000511807290,,Ribnik,,41.6515719,21.4526831
1000000547074226,,4 Angeli,,42.0048265,21.4121661
1000000562196806,,Чешмиче,На Чешмиче,42.1489108,22.0002842
1000000579498263,,Конак,,41.1725935,20.6689529
1000000579500372,,Женска Плажа,,41.1741840,20.6761792
1000000580951346,Струга,Црвен Мак,Пабло Неруда,41.1751769,20.6733996
1000000581914079,,Оаза,,41.1763912,20.6718637
1000000581992760,,Св. Георгиј,,41.1765939,20.6743731
1000000581992761,,Бриони,,41.1766005,20.6744980
1000000581992785,,Буренце,,41.1757803,20.6757250
1000000581996084,,Маива,,41.1767850,20.6743721
1000000581996085,,Драган и Јовче,,41.1768179,20.6742239
1000000582475130,Струга,Св. Никола,Гоце Делчев,41.1762454,20.6782676
1000000582503061,,Антико,,41.1764555,20.6784247
1000000582503063,,Ангела,,41.1768736,20.6785312
1000000582519038,,13,,41.1758033,20.6763375
1000000612663883,,,,41.6617380,20.7322490
1000000624250623,,Мир,,41.3842271,21.5906669
1000000650546014,,Mosha Mel,,42.1308159,21.7184498
1000000650546015,,Yard,,42.1307697,21.7187590
1000000674116575,,Ваташа пекара,Борис Трајковски,41.9519545,21.4919316
1000000674126648,,Везилка,Борис Трајковски,41.9670412,21.4693029
1000000674126651,,Дениција,Борис Трајковски,41.9672697,21.4691124
1000000678397093,,Бисер Митре,,41.7474384,22.1836850
1000000683729634,,Hamza Brez,,42.1733791,21.4470613
1000000686912550,,Krcma Zuto Kombe,,42.0258581,21.3803929
1000000692924629,,,,41.0613720,20.8023845
1000000702092416,,,,42.1452804,21.1003422
1000000717946362,,,,40.9729402,21.0564900
1000000722323356,Гостивар,Деде Бег,Јна,41.7949200,20.8931549
1000000722492537,Гостивар,Пела,ул. "Живко Брајковски",41.7901630,20.9049684
1000000781153479,,Центар,,41.1841395,22.4795327
1000000815560726,,Shalom,,41.4412451,22.6387434
1000000816620647,Прилеп,Академи,Кузман Јосифоски-Питу,41.3457396,21.5499886
1000000816789115,,,,41.4877097,21.9243793
1000000816789118,,Јавор,,41.4756164,21.9044966
1000000820110416,,Бабино,,41.2985085,21.0862330
1000000825445589,,,,41.4461979,21.3799687
1000000829988369,,,,41.9953632,21.4099522
1000000835535610,Прилеп,Алтан,Александар Македонски,41.3450184,21.5647214
1000000838984538,Скопје,Куц у Кец (Панда),Тодор Чангов 20,41.9758170,21.4852834
1000000839150800,,,,41.8650516,21.9374304
1000000844112176,,Margule,,41.5002888,20.6834625
1000000844786483,,На Валајци,,41.2643585,21.0744350
1000000852491071,,Крпачов Камен,,41.3909368,21.7777262
1000000863479328,Прилеп,Ај По Една,Илинденска,41.3469009,21.5557143
1000000863483543,Прилеп,Стара Чаршија,Илинденска,41.3464693,21.5555988
1000000863485668,Прилеп,Две Лири,Јоска Јорданоски - Сандански,41.3478268,21.5588877
1000000863500271,Прилеп,Дел Посто,Илинденска,41.3463028,21.5551634
1000000863500272,Прилеп,Евро,Херој Карпош,41.3449815,21.5555766
1000000863500273,,Мариово,,41.1962534,21.7150071
1000000863500274,Прилеп,Изгрев,Сотка Ѓорѓиоски-Сотка,41.3445726,21.5516335
1000000863500275,Прилеп,Кекеле,Кузман Јосифоски-Питу,41.3459891,21.5494325
1000000863500276,Прилеп,Кај Џоки,Херој Карпош,41.3455655,21.5559189
1000000863500278,Прилеп,Александрија,Сотка Ѓорѓиоски-Сотка,41.3445122,21.5520928
1000000863505246,Прилеп,Лидер,Браќа Ламески,41.3463678,21.5565400
1000000881141312,,Рома,,41.3678441,21.2491931
1000000894563399,Крушево,Крушевска Одаја,Тодор Проески-Тоше,41.3734272,21.2455515
1000000894563400,,Либра,,41.3736817,21.2457311
1000000933002406,,,,41.3767153,21.2452432
1000000951737569,,Империја,,41.4090904,21.4409802
1000000961527349,,Мечкуевска Куќа - Пуже,,41.8633689,21.9457575
1000000963202810,,Цане Боксеро,,41.0263954,21.3365953
1000000974420019,,Restaurant Ranch,,42.2073430,22.1004103
1000000975240896,,Златен Даб,,41.1026559,21.3602597
1000000981839452,,Лешок,,42.0670341,21.0271864
1000000985240376,,Вила Малуш,,41.3095361,21.5041443
